uri,total_count,sources
https://soilwise-he.github.io/soil-health#SoilFoodWebs,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Cropland,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#CompactionSusceptibility,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilAnimalDiversity,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#PlantNutrientLeaching,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#AirCapacity,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#NutrientTurnover,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#RainwaterInfiltration,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#RootingDepth,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilCrusting,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Urea,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#NitricAcid,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#AmmoniumBasedFertilizers,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Earthworms,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Mites,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#MicronutrientAvailability,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Sedimentation,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Magnesium,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#ElectricConductivity,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilPAvailability,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Zinc,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#NutrientBufferingCapacity,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#NLeaching,3,"gpt-4.1, gpt-4o, keywords"
