prefLabel,altLabels,displayName,uri,confidence
inorganic nitrogen,mineral nitrogen,inorganic nitrogen (mineral nitrogen),http://aims.fao.org/aos/agrovoc/c_19dbe72d,N/A
arbuscular mycorrhiza,,arbuscular mycorrhiza,http://aims.fao.org/aos/agrovoc/c_1415699873241,N/A
ion exchange capacity,,ion exchange capacity,http://aims.fao.org/aos/agrovoc/c_24864,N/A
mineralization,,mineralization,http://aims.fao.org/aos/agrovoc/c_15999,N/A
Frankia,,Frankia,http://aims.fao.org/aos/agrovoc/c_23923,N/A
Mycobacterium,,Mycobacterium,http://aims.fao.org/aos/agrovoc/c_5018,N/A
Nocardia,,Nocardia,http://aims.fao.org/aos/agrovoc/c_5203,N/A
Pseudonocardiaceae,,Pseudonocardiaceae,http://aims.fao.org/aos/agrovoc/c_0c12c56f,N/A
Rhodococcus (Bacteria),,Rhodococcus (Bacteria),http://aims.fao.org/aos/agrovoc/c_34498,N/A
Streptomyces,,Streptomyces,http://aims.fao.org/aos/agrovoc/c_7450,N/A
Thermoactinomyces,,Thermoactinomyces,http://aims.fao.org/aos/agrovoc/c_35526,N/A
Azotobacter vinelandii,,Azotobacter vinelandii,http://aims.fao.org/aos/agrovoc/c_27456,N/A
Azotobacteriaceae,,Azotobacteriaceae,http://aims.fao.org/aos/agrovoc/c_753,N/A
Clostridiaceae,,Clostridiaceae,http://aims.fao.org/aos/agrovoc/c_b423fceb,N/A
Clostridium acetobutylicum,,Clostridium acetobutylicum,http://aims.fao.org/aos/agrovoc/c_27486,N/A
Clostridium botulinum,,Clostridium botulinum,http://aims.fao.org/aos/agrovoc/c_21492,N/A
Clostridium butyricum,,Clostridium butyricum,http://aims.fao.org/aos/agrovoc/c_27487,N/A
Clostridium chauvoei,,Clostridium chauvoei,http://aims.fao.org/aos/agrovoc/c_16390,N/A
Clostridium pasteurianum,,Clostridium pasteurianum,http://aims.fao.org/aos/agrovoc/c_27488,N/A
Clostridium thermocellum,,Clostridium thermocellum,http://aims.fao.org/aos/agrovoc/c_27489,N/A
Rhizobiaceae,,Rhizobiaceae,http://aims.fao.org/aos/agrovoc/c_6561,N/A
Rhizobium leguminosarum,,Rhizobium leguminosarum,http://aims.fao.org/aos/agrovoc/c_27352,N/A
Rhizobium lupini,,Rhizobium lupini,http://aims.fao.org/aos/agrovoc/c_27353,N/A
